web-scraper-order,web-scraper-start-url,pages,pages-href,college,1st_year_fees,eligibility,details,city,image-src,course_name
1630560941-879,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,4,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-4,Western University, 19.2 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 92                                        
                                                                            
                                                                                        IELTS: 6.5","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", London, Canada","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Computer Science
1630560860-640,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,28,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-28,Webster University, 20.2 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 53","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Cape Girardeau, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",M.S in Cyber Security
1630560892-769,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,16,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-16,University of Illinois Springfield, 21.9 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 79                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 65","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Springfield, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",M.S. in Computer Science
1630560755-231,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,25,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-25,Seattle University, 38.6 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 85                                        
                                                                            
                                                                                        IELTS: 6                                        
                                                                                                                +2 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted                                                
                                                                                            
                                                                                                        PTE: 62","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Seattle, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Computer Science
1630560915-814,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,10,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-10,The University of Tampa, 17.6 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 90                                        
                                                                            
                                                                                        IELTS: 6.5","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Tampa, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Cybersecurity (STEM)
1630560941-880,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,4,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-4,University College London, 41.8 Lakhs,"Eligibility
                                                                            
                                                                                        IELTS: 7                                        
                                                                            
                                                                                        PTE: 69","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", London, UK","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Computer Science MSc
1630560907-805,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,12,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-12,University of Exeter, 19.0 Lakhs,"Eligibility
                                                                            
                                                                                        IELTS: 6","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Exeter, UK","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MSc by Research in Mining and Minerals Engineering
1630560814-463,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,46,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-46,Dominican University of California, 20.4 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +2 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted                                                
                                                                                            
                                                                                                        PTE: 53","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", San Rafael, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Masters of Science in Biological Sciences
1630560854-624,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,30,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-30,University of the Highlands and Islands, 13.2 Lakhs,"Eligibility
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                            
                                                                                        PTE: 59","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Perth, UK","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MSc Air Transport Operations and Management
1630560678-6,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,,,University of Alberta, 15.7 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 100                                        
                                                                            
                                                                                        IELTS: 7                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 68","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Edmonton, Canada","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MSc in Computing Science
1630560796-394,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,41,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-41,Rider University, 27.1 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 79                                        
                                                                            
                                                                                        IELTS: 6                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 53","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Lawrenceville, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Information Systems
1630560751-208,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,23,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-23,Sungkyunkwan University, 10.9 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ×Accommodation",", Seoul, South Korea","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Graduate program in Mechanical Engineering
1630560823-502,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,42,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-42,The University of Rhode Island, 32.7 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +2 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted                                                
                                                                                            
                                                    PTE is accepted but exact exam score is not published by the college                                                    PTE: Accepted","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", South Kingstown, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MS in Chemistry
